title,description,country,subscriberCount
"Denise Bobe",,DE,74180
"BE a BEE","HAUPTKANAL : youtube.com/dagibeee
____________________________________

Hi Ihr Bee's :)

Auf diesem Kanal werde ich euch ab und zu auch mal kurze Videos hochladen.
Aus meinem Leben - kleine Erlebnisse oder einfach nur ein 10 sec. Video - alles kreuz und quer :)

Ich hoffe es wird euch gefallen und werdet vieeeeel Spaß mit mir hier haben :)

HAB EUCH LIEB, Dagi :*

__________________________________________

Geschäftliche Anfragen : dagibeeBUSINESS@gmail.com

__________________________________________


KEINE FANPOST ADRESSE !

Impressum:

BEETIQUE GmbH
Unterschmitte 2
42799 Leichlingen


Amtsgericht Düsseldorf HRB 77908
UstId: DE306884113",DE,956668
"Dagi Bee","Kontaktadresse/Business Inquiries: DAGIBEEbusiness@gmail.com

Adresse BITTE NUR für geschäftliche Anfragen.
___________________________________________

♡ Meine Sozialen Netzwerke ♡

Facebook ▸ https://www.facebook.com/Dagi.Beee
Twitter ▸ https://twitter.com/dagibee
Instagram ▸ @dagibee   /   http://instagram.com/dagibee
Snapchat  ▸ dagibeee

MEIN Dagi-Shop ▸ http://dagi-shop.de

___________________________________________

KEINE FANPOST ADRESSE !

Impressum:

BEETIQUE GmbH
Unterschmitte 2
42799 Leichlingen


Amtsgericht Düsseldorf HRB 77908
UstId: DE306884113",DE,3944481
"Niloofar Irani","Was geht Leute? Herzlich Willkommen auf meinem Kanal  ♡
Richtig gelandet seid ihr hier, wenn ihr lust auf viel Unterhaltung und Inspiration habt. Ich mag zwar etwas verrückt sein, aber den einen oder anderen wird es gefallen. Meinen Kanal habe ich seit Januar 2014 mit viel Liebe und Geduld aufgebaut. Ich bin sehr stolz auf meine Loyale und Treue Community, und freue mich natürlich auch darüber, immer mehr Menschen in meiner #NiLover Crew dabeizuhaben, die mich unterstützen und die Gradlinigkeit ihnen gegenüber erkennen. Ich Danke euch für die Zeit die ihr zum durchlesen dieses ""Roman's"" genommen habt und wünsche euch ganz viel spaß beim Zuschauen meiner Videos ♡

xo, Eure Nilo ♡


IMPRESSUM:

Niloofar Irani
Friseur Mozhgan
Bramfelder Chaussee 28
22177 Hamburg
Deutschland

Kontakt (nur Geschäftlich): mgmt@niloofar-irani.de",DE,454428
"Alycia Marie","Hi, ich bin Alycia, ihr könnt mich gerne Ally nennen. :) 
Ich mache Musik, experimentelle Makeup Looks, Face Paintings, Special Effects Makeup, Beauty- & Lifestylevideos und ab und zu mal etwas, das komplett aus der Reihe tanzt. 

⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯

❤ 50.000 Abonnenten am 10. Januar 2014 

❤ 100.000 Abonnenten am 19. Dezember 2014 

❤ 150.000 Abonnenten am 28. April 2015

❤ 200.000 Abonnenten am 04. Juli 2015

❤ 250.000 Abonnenten am 02. November 2015

❤ 300.000 Abonnenten am 11. Februar 2016

❤ 350.000 Abonnenten am 03. August 2016

❤ 400.000 Abonnenten am 20. Dezember 2016

Das größte Dankeschön der Welt für eure großartige Unterstützung! ❤

⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯",DE,697243
"Hey Aaron!!!","Hauptsache wir haben Spaß !!!!

Für Autogramme schickt bitte einen Brief mit frankiertem Rückumschlag an:
Aaron Troschke 
Schivelbeiner Str. 44
10439 Berlin

Realisator: Timo Schmidt: timo@heyaaron.de

Titel & Hintergrundmusik: http://www.ArmanUderzo.com

Impressum: 

ReachHero GmbH
Greifswalder Straße 208
10405 Berlin
timo@heyaaron.de

Amtsgericht Berlin HRB 162985 B
USt.-IdNr.: DE275103703",DE,973390
"Paola Maria","Vielen Dank für's Anschauen meine Lieben und danke, dass ihr mich so sehr unterstützt und mir so viele Kommentare, Likes, Vorschläge, Ideen und liebe Grüße da lasst. Hab euch lieb :)

Besucht meine Sozialen Netzwerke:

Instagram: ► http://goo.gl/Sg9K58
Facebook ► http://goo.gl/8q9rA4
Snapchat ► paola-mariaa 
Twitter ► http://goo.gl/h3iRJW
_______________________________________

Postadresse: 
Call of Beauty/ TEWE MEDIA GmbH 
Lindenstr. 19
50674 Köln

Impressum:  
Paola Maria c/o TEWE MEDIA GmbH 
Lindenstr. 19
50674 Köln

Mail: Kevin@hypemediagroup.de
Ust-ID.: 303360123",DE,1812296
"Hatice Schmidt","Hallo & herzlichen willkommen auf meinem BEAUTY & LIFESTYLE Kanal.

Kontaktadresse/Business Inquiries:  
Hatice Schmidt
haticeschmidt@outlook.com
c/o B W M Communications 
Rosenstraße 32 
50678 Köln  
www.bwm-com.com",DE,609341
"Marvyn Macnificent","'Via his Marvyn Macnificent YouTube channel he spreads the message of acceptance beyond the need for definitions.' 💕

- NakedButSafe Magazine #9


  _______  


Kontaktadresse/Business Inquiries : info@marvynmacnificent.com

  _______  

 Impressum 

Marvyn Macnificent
c/o B W M Communications  
Rosenstraße 32  
50678 Köln
www.bwm-com.com",DE,831456
"Tali Quindio","What's Cracking, mein Name ist Tali Quindio!
- Latin Mix I Make-up Junkie & Artist I Beauty Transformer

Schön, dass ihr auf meinem Kanal vorbeischaut.

Als professioneller Make-up Artist möchte ich meine Tipps und Tricks in Sachen Hair und Make-up mit euch auf meinem Kanal teilen.
Perücke selbst machen? Face on Fleek? Ultimativer Glow auch für dich? Mein Lebensmotto: Geht nicht?- Gibt’s nicht! Bei mir ist ALLES möglich!
Außerdem gibt es hier Fashion, Real Talk & Vlogs oder Behind the Scenes von Make-up Jobs.

Ihr wollt mehr TQ?

❖Subscribe hier: http://ytb.li/TaliQuindio
❖Social Media: http://taliquindio.fty.li/social

Würde mich freuen, wenn ihr einen Kommentar hinterlässt und meinen Channel abonniert!

❖For business inquiries management@taliquindio.com

Be proud and stay blessed, Tali Quindio!",DE,160532
TopicMusicTV,"Topic was 16 years old when a cool music teacher introduced him to Logic Pro. It was love at first beat. He soon followed-up with productions for artists which he actually an merchandise for, most of them becoming big though YouTube or other social media.Social media is what launched Topic’s career and laid foundation for the years to come. With the possibility to spread his music out directly, he quickly gained a sizeable amount of fans and followers  and was the kick-off for future collabos with Jake Reese and Ally Brooke. 

Topic recently announced his new collabo with Juan Magan and Lena ""Soló Contigo"". Always looking for new ways to go Topic blends Latin-vibes and songwriting with a European-twist of dance music. Be prepared for the 22nd of June!",DE,170383
"Jolina Mennen","Halli Hallo meine Lieben,
auf meinem Kanal findet ihr stets neue Tipps und Trends zum Thema Makeup, Beauty und Fashion.

xo, 
Jolina",DE,265264
Nihan,"Genießt das Leben... Alles andere ist unwichtig!
#Glücksmensch

Kontaktadresse/Business Inquiries:  
Nihan Sen
c/o B W M Communications 
Rosenstraße 32 
50678 Köln  
www.bwm-com.com
Adresse für Zuschauerpost:

POSTFACH 40 33
32570 Löhne





Business Mail:
kontakt@nihan0311.de


Instagram @nihan0311

Snapchat : NihanYT

Facebook: nihan0311

Twitter: Nihan


Mein Equipment:
Meine Kamera : http://amzn.to/1nbgdRA
Mein Stativ : http://amzn.to/1xYJCSZ 
Meine Studioleuchte: http://amzn.to/1uv8FKA
Schnitt-Programm :  iMovie / Final Cut Pro X 
Mein Laptop: http://amzn.to/1xjFmdr

Nihan ist Teilnehmer des Partnerprogramms von Amazon EU, das zur Bereitstellung eines Mediums für Websites konzipiert wurde, mittels dessen durch die Platzierung von Werbeanzeigen und Links zu Amazon.de Werbekostenerstattung verdient werden kann.


Kontaktadresse/Business Inquiries:  
Nihan Sen
Kontakt@nihan0311.de
c/o B W M Communications 
Rosenstraße 32 
50678 Köln  
www.bwm-com.com",DE,864278
Shpendiboy,"Hi Leute, kurz und knackig.
Hier gibt es Challenge´s und einpaar lächerliche Videos.
Viel spaß mit meinen Videos :D

(Beste Vorstellung EU-WEST)

Lasst doch ein Abo da und Liked meine Videos.

Buisness Mail : shpendi.buisness@outlook.com

IMPRESSUM : shpendi.shulemaja@gmx.de
                          BroadbandTV
                          Melville St. Vancouver  BC
                          V6E 0A6",DE,310558
"Diego Fossa",,DE,32574
"World Wide Wohnzimmer","Die gnadenlose YouTube-Late-Night-Show mit Dennis & Benni Wolter! 

Impressum
Seit dem 15.01.2017 ist World Wide Wohnzimmer ein Angebot von funk. 
World Wide Wohnzimmer ist eine Produktion der TWIN.TV GmbH für funk.

funk ist ein Gemeinschaftsangebot der Arbeitsgemeinschaft der Rundfunkanstalten der Bundesrepublik Deutschland (ARD) und des Zweiten Deutschen Fernsehens (ZDF).

Impressum für Inhalte ab dem 15.01.2017:
http://go.funk.net/impressum


Kontakt & Booking Dennis & Benni Wolter: nw@bwm-com.com (BWM Communications)

funk hat auf die datenschutzrechtlichen Bestimmungen dieser Plattform sowie die Erhebung, Analyse und Nutzung von Userdaten keinen Einfluss. Im Rahmen unserer Möglichkeiten gehen wir mit der größten Sensibilität mit Deinen Daten um. Weitere Informationen zum Thema Datenschutz findest Du auf unserer Website: https://www.funk.net/datenschutz",DE,865511
unsympathischTV,"Hallo Ich bin Sascha.

Impressum:

unsympathischTV
c/o
flow:fwd GmbH
Ehrenbergstraße 33
22767 Hamburg
E-Mail: hello@flow-fwd.de
Telefon: +49 40 609439950
Geschäftsführer: Markus Frey 
Gerichtsstand Hamburg, HRB 136994",DE,1462687
EinfachPeter,"Einfach Peter weil es sonst zu schwer wäre.",DE,438506
inscope21,"learn how to natz in the 21st century

Impressum
Inscope21
c/o
flow:fwd GmbH
Ehrenbergstraße 33
22767 Hamburg
E-Mail: hello@flow-fwd.de
Telefon: +49 40 609439950
Geschäftsführer: Markus Frey 
Gerichtsstand Hamburg, HRB 136994",DE,2050198
