title,description,country
Arazhul,"Minecraft ? Minecraft ?! ... Npc hier, Npc da....
So sieht es auf den ersten Moment aus! Doch in echt produziere ich meine Videos mit sehr viel Liebe und Fleiß.
Manchmal sitze ich für ein Video, welches 15 Minuten dauert, bis zu 6 Stunden dran.
Ich hoffe meine Videos gefallen euch!

_____________________________________________________________________________________________________

Meine Projekte sind zur Zeit:

- Minecraft Spasskasten

- Shellshock Live (kommt bald wieder)

- Minecraft Twister

- Irgendwelche Minigames um 18:00 Uhr
_____________________________________________________________________________________________________


Meine Videos kommen täglich und regelmäßig online. Dabei ist 13:00 Uhr meine ""Prime-Time"".",DE
Peppa Pig Deutsch - Offizieller Kanal,"Willkommen auf dem offiziellen Peppa Pig Youtube Kanal, dem Zuhause von Peppa auf Youtube! Wir haben eine Peppa-Welt mit Folgen und Zusammenschnitten erstellt, um auch die größten Peppa-Fans glücklich zu machen. Viel Spaß und vergesst nicht, den Kanal zu abonnieren, um immer als erstes über neue Peppa-Folgen, Clips und Zusammenschnitte informiert zu sein!

Peppa ist ein liebenswertes, freches kleines Schweinchen, das mit seinem Brüderchen Schorsch bei Mama Wutz und Papa Wutz wohnt. Am liebsten spielt Peppa Spiele, verkleidet sich, unternimmt Ausflüge und springt in Matschepampe herum. Ihre Abenteuer nehmen immer ein gutes Ende in laut schnaubendem Gelächter.",DE
Die Crew,"Du magst den YouTuber & Streamer MontanaBlack? Dann ist dieser Kanal genau das richtige für dich! Hier findest du Zusammenschnitte aus seinen Livestreams, somit verpasst du keine Reaction, keinen Realtalk & auch keine Highlights! 

Solltest du Interesse haben für uns zu arbeiten, dann melde dich gerne per E-Mail bei uns!",DE
Behdad TV,"Hört einfach mal rein!
Hello, my Name is Behdad.
I do Music producement, Covers, Songs for everyone.
Go visit my other Pages:
- Facebook: @Behdad  
https://www.facebook.com/behdadym/
- Instagram: @Behdad_Yali 
https://www.instagram.com/behdad_yali/
- Snapchat: @Behdadym
- Twitter: @BehdadYm 
https://twitter.com/BehdadYm
- Booking: behdadyali@yahoo.de",DE
Das schaffst du nie!,"Bei „Das schaffst du nie!“ stellt Marc die Hosts Ariane und Sebastian immer abwechselnd vor eine Challenge. Ein Flugzeug landen, ohne Pilot zu sein. Eine Nadel im Heuhaufen finden. Jemandem ein Tattoo stechen. Oder einen Bullen absamen. Schaffen es die Hosts, dürfen sie Marc bestrafen. Wenn nicht, werden sie bestraft.

Jeden Donnerstag gibt's um 15:00 Uhr ein neues Video von „Das schaffst du nie!“. 

Impressum:

""Das schaffst du nie!"" wird produziert von funk.

funk ist ein Gemeinschaftsangebot der Arbeitsgemeinschaft der Rundfunkanstalten der Bundesrepublik Deutschland (ARD) und des Zweiten Deutschen Fernsehens (ZDF).

funk hat auf die datenschutzrechtlichen Bestimmungen dieser Plattform sowie die Erhebung, Analyse und Nutzung von Userdaten keinen Einfluss. Im Rahmen unserer Möglichkeiten gehen wir mit der größten Sensibilität mit Deinen Daten um. Weitere Informationen zum Thema Datenschutz findest Du auf unserer Website: https://www.funk.net/datenschutz

https://go.funk.net/impressum",DE
Sky Sport HD,"Willkommen auf dem offiziellen Sport-Kanal von Sky Deutschland. Hier findet Ihr alle Highlights der UEFA Champions League und des DFB Pokals.  Darüber hinaus bringen wir die besten Momente der EHF Champions League, der DKB Handball Bundesliga und Wimbledon, sowie den Wontorra Fußball-Talk in voller Länge und die Höhepunkte aus Sky90 zu euch nach Hause. Kostenfrei und in HD! Abonniert jetzt unseren YouTube-Kanal und verpasst kein Video mehr.",DE
Klinik am Südring,"In der Klinik am Südring bieten echte Ärzte und Schwestern Einblick in die unbekannte Welt der Medizin und eines Krankenhausalltags: spannende, medizinische Ursachenforschung und Behandlung trifft auf persönliche Geschichten. Unser Krankenhauspersonal sind die Helden der Geschichten und finden immer eine Lösung, sind kompetent, menschlich einfühlsam und immer mit viel Herz und Zeit für die Patienten da.

► Alle Folgen ""Klinik am Südring"":
http://bit.ly/KlinikAmSüdring

►Ganze Folgen von „Auf Streife – Die Spezialisten“
http://bit.ly/AufStreifeDieSpezialist...

►Ganze Folgen von „Auf Streife – Berlin“
http://bit.ly/AufStreifeBerlinOnline

► Auf Streife auf Facebook:
http://bit.ly/AufStreifeFacebook

►Alle Fälle von Auf Streife im YouTube-Abo!
http://bit.ly/AufStreifeAbonnieren

Impressum:
http://www.studio71.com/de/impressum",DE
Ruhrpottwache,"Ob spektakuläre Verfolgungsjagden, Explosionen, Helikoptereinsätze oder die schwierige Suche nach einem Beweisstück: Die Ermittler der Hauptwache Duisburg Nord brauchen ihr ganzes Knowhow, um den Täter zu fassen. Die Fälle sind tatsächlichen Einsätzen nacherzählt.

Die Ruhrpottwache - Montag bis Freitag, 19:00 in SAT.1

► Abonniere den Kanal, um keine Folge zu verpassen!
http://bit.ly/RuhrpottwacheAbonnieren

► Alle Folgen der Ruhrpottwache:
http://bit.ly/RuhrpottwacheOnline


► Alle Folgen ""Klinik am Südring"":
http://bit.ly/KlinikAmSüdring

►Ganze Folgen von „Auf Streife – Die Spezialisten“
http://bit.ly/AufStreifeDieSpezialist...

►Ganze Folgen von „Auf Streife – Berlin“
http://bit.ly/AufStreifeBerlinOnline

► Auf Streife auf Facebook:
http://bit.ly/AufStreifeFacebook

►Alle Fälle von Auf Streife im YouTube-Abo!
http://bit.ly/AufStreifeAbonnieren

►Alle Fälle von Klinik am Südring im YouTube-Abo!
http://bit.ly/AbonniereKlinikAmSüdring


Impressum:
http://www.studio71.com/de/impressum",DE
Berlin - Tag & Nacht,"Diese WG hat es in sich: Eifersucht, Liebe, Freud und Leid sind hier an der Tagesordnung! Irgendwas ist immer los, denn sie alle sind auf der Suche: Außergewöhnliche Menschen, viele Träume und die Stadt der unbegrenzten Möglichkeiten – das ist „Berlin – Tag & Nacht“!

http://www.rtl2.de/impressum",DE
Namika,"Namikas neues, abermals mit dem Berliner Produzententeam Beatgees aufgenommenes Album ""Que Walou"" ist die logische Fortsetzung ihres mit Gold prämierten Debütalbums ""Nador"" – und zugleich dessen konsequente Weiterentwicklung. ""'Nador' und das neue Album sind vom Titel her wie auch inhaltlich Geschwister"", sagt sie. ""Ich wollte zeitlose Musik machen, die dennoch den Nerv der Zeit trifft."" Das ist ihr gelungen: ""Que Walou"" ist eine Redenwendung aus der in Marokko geläufigen Sprache Tamazight und bedeutet übersetzt und abhängig vom Kontext entweder ""wie nichts"" oder ""für nichts"". Genau so klingt das Album nun auch: leicht, bouncy, scheinbar mühelos. Namika nähert sich auf dem Album ""Que Walou"" unterschiedlichen Themen aus verschiedenen Perspektiven und mit unterschiedlichen musikalischen Farben. Soul, arabische Harmonien, Hip-Hop, Songwriterkunst, Pop: alles fließt auf diesem Album zusammen. ""Que Walou"" ist ein Album über die Liebe, das Leben und die verdammte Sehnsucht nach dem Glück.",DE
